MATERIAL_NAME,TRANSPORTATION_MODES
MAT-0001,Truck
MAT-0002,Truck
MAT-0003,Truck
MAT-0004,Truck
MAT-0005,Marine
MAT-0007,Marine
MAT-0008,Truck
MAT-0009,Truck
MAT-0011,Marine
MAT-0012,Marine
MAT-0013,Truck
MAT-0014,Marine
MAT-0015,Marine
MAT-0016,Truck
MAT-0017,Truck
MAT-0018,Truck
MAT-0019,Marine
MAT-0023,Marine
MAT-0024,Marine
MAT-0026,Marine
MAT-0028,Truck
MAT-0029,Marine
MAT-0030,Marine
MAT-0032,Marine
MAT-0034,Marine
MAT-0035,Marine
MAT-0036,Truck
MAT-0037,Marine
MAT-0038,Truck
MAT-0040,Marine
MAT-0041,Marine
MAT-0042,Truck
MAT-0044,Marine
MAT-0046,Marine
MAT-0047,Truck
MAT-0048,Truck
MAT-0049,Marine
MAT-0050,Marine
MAT-0051,Marine
MAT-0052,Truck
MAT-0053,Marine
MAT-0054,Truck
MAT-0055,Marine
MAT-0056,Marine
MAT-0057,Marine
MAT-0059,Truck
MAT-0060,Marine
MAT-0062,Marine
MAT-0063,Marine
MAT-0064,Truck
MAT-0065,Marine
MAT-0066,Marine
MAT-0068,Marine
MAT-0069,Truck
MAT-0070,Truck
MAT-0071,Marine
MAT-0072,Marine
MAT-0073,Marine
MAT-0074,Marine
MAT-0075,Marine
MAT-0076,Marine
MAT-0077,Truck
MAT-0078,Truck
MAT-0079,Marine
MAT-0080,Marine
MAT-0081,Marine
MAT-0082,Truck
MAT-0084,Truck
MAT-0085,Marine
MAT-0086,Marine
MAT-0087,Truck
MAT-0089,Marine
MAT-0091,Truck
MAT-0092,Truck
MAT-0093,Marine
MAT-0095,Truck
MAT-0096,Marine
MAT-0097,Truck
MAT-0098,Marine
MAT-0099,Marine
MAT-0100,Truck
MAT-0101,Marine
MAT-0102,Truck
MAT-0103,Marine
MAT-0104,Marine
MAT-0105,Marine
MAT-0106,Marine
MAT-0107,Truck
MAT-0108,Truck
MAT-0109,Marine
MAT-0110,Marine
MAT-0111,Marine
MAT-0112,Marine
MAT-0113,Marine
MAT-0114,Marine
MAT-0115,Marine
MAT-0116,Marine
MAT-0117,Truck
MAT-0118,Marine
MAT-0119,Truck
MAT-0120,Truck
MAT-0121,Marine
MAT-0122,Marine
MAT-0123,Marine
MAT-0126,Marine
MAT-0128,Truck
MAT-0131,Marine
MAT-0133,Marine
MAT-0135,Marine
MAT-0136,Marine
MAT-0137,Marine
MAT-0138,Truck
MAT-0141,Truck
MAT-0142,Truck
MAT-0143,Truck
MAT-0144,Truck
MAT-0145,Truck
MAT-0146,Marine
MAT-0147,Truck
MAT-0148,Truck
MAT-0149,Truck
MAT-0150,Marine
MAT-0151,Marine
MAT-0153,Marine
MAT-0154,Truck
MAT-0156,Marine
MAT-0157,Truck
MAT-0158,Truck
MAT-0159,Truck
MAT-0160,Truck
MAT-0161,Truck
MAT-0162,Marine
MAT-0163,Marine
MAT-0164,Marine
MAT-0165,Marine
MAT-0166,Truck
MAT-0167,Marine
MAT-0168,Truck
MAT-0171,Marine
MAT-0172,Marine
MAT-0174,Marine
MAT-0175,Marine
MAT-0176,Truck
MAT-0177,Marine
MAT-0178,Marine
MAT-0179,Truck
MAT-0180,Marine
MAT-0182,Marine
MAT-0183,Truck
MAT-0184,Marine
MAT-0185,Marine
MAT-0186,Marine
MAT-0187,Truck
MAT-0188,Truck
MAT-0190,Truck
MAT-0192,Marine
MAT-0193,Truck
MAT-0194,Truck
MAT-0195,Truck
MAT-0196,Truck
MAT-0197,Marine
MAT-0198,Truck
MAT-0199,Truck
MAT-0200,Truck
MAT-0201,Truck
MAT-0202,Truck
MAT-0205,Truck
MAT-0206,Truck
MAT-0207,Marine
MAT-0208,Truck
MAT-0209,Truck
MAT-0210,Marine
MAT-0211,Marine
MAT-0212,Marine
MAT-0214,Truck
MAT-0215,Truck
MAT-0216,Truck
MAT-0217,Truck
MAT-0218,Marine
MAT-0221,Marine
MAT-0222,Marine
MAT-0223,Truck
MAT-0224,Marine
MAT-0225,Marine
MAT-0226,Marine
MAT-0227,Truck
MAT-0228,Marine
MAT-0229,Truck
MAT-0230,Marine
MAT-0231,Marine
MAT-0232,Marine
MAT-0233,Marine
MAT-0234,Marine
MAT-0235,Truck
MAT-0236,Truck
MAT-0237,Marine
MAT-0239,Truck
MAT-0241,Truck
MAT-0242,Marine
MAT-0243,Marine
MAT-0244,Marine
MAT-0246,Marine
MAT-0247,Marine
MAT-0248,Marine
MAT-0249,Truck
MAT-0250,Marine
MAT-0251,Truck
MAT-0252,Truck
MAT-0254,Truck
MAT-0255,Marine
MAT-0256,Truck
MAT-0259,Truck
MAT-0260,Truck
MAT-0261,Truck
MAT-0262,Truck
MAT-0263,Marine
MAT-0264,Truck
MAT-0265,Marine
MAT-0266,Truck
MAT-0267,Marine
MAT-0268,Marine
MAT-0269,Marine
MAT-0270,Truck
MAT-0271,Marine
MAT-0272,Truck
MAT-0273,Marine
MAT-0274,Truck
MAT-0275,Marine
MAT-0276,Truck
MAT-0277,Truck
MAT-0279,Truck
MAT-0280,Truck
MAT-0281,Truck
MAT-0282,Truck
MAT-0284,Truck
MAT-0285,Truck
MAT-0286,Truck
MAT-0287,Truck
MAT-0291,Truck
MAT-0292,Marine
MAT-0293,Marine
MAT-0294,Truck
MAT-0295,Marine
MAT-0296,Marine
MAT-0298,Truck
MAT-0299,Marine
MAT-0301,Marine
MAT-0302,Marine
MAT-0303,Marine
MAT-0304,Marine
MAT-0305,Marine
MAT-0306,Truck
MAT-0307,Marine
MAT-0308,Marine
MAT-0309,Marine
MAT-0310,Marine
MAT-0312,Truck
MAT-0313,Truck
MAT-0314,Truck
MAT-0315,Truck
MAT-0316,Marine
MAT-0317,Truck
MAT-0318,Marine
MAT-0319,Marine
MAT-0320,Marine
MAT-0321,Marine
MAT-0322,Marine
MAT-0323,Marine
MAT-0324,Truck
MAT-0325,Marine
MAT-0326,Truck
MAT-0327,Marine
MAT-0328,Truck
MAT-0329,Truck
MAT-0330,Truck
MAT-0331,Truck
MAT-0332,Truck
MAT-0333,Truck
MAT-0334,Marine
MAT-0335,Marine
MAT-0336,Marine
MAT-0338,Marine
MAT-0339,Marine
MAT-0340,Marine
MAT-0341,Truck
MAT-0343,Truck
MAT-0344,Marine
MAT-0345,Marine
MAT-0346,Marine
MAT-0349,Marine
MAT-0350,Truck
MAT-0351,Truck
MAT-0352,Truck
MAT-0353,Truck
MAT-0354,Marine
MAT-0355,Marine
MAT-0356,Marine
MAT-0357,Marine
MAT-0358,Truck
MAT-0359,Marine
MAT-0360,Truck
MAT-0361,Marine
MAT-0362,Truck
MAT-0363,Marine
MAT-0364,Marine
MAT-0365,Marine
MAT-0366,Marine
MAT-0367,Marine
MAT-0368,Truck
MAT-0369,Truck
MAT-0371,Marine
MAT-0372,Marine
MAT-0373,Marine
MAT-0374,Marine
MAT-0375,Truck
MAT-0376,Marine
MAT-0377,Truck
MAT-0378,Truck
MAT-0379,Truck
MAT-0380,Truck
MAT-0381,Marine
MAT-0382,Truck
MAT-0383,Truck
MAT-0384,Truck
MAT-0385,Marine
MAT-0386,Marine
MAT-0388,Truck
MAT-0389,Truck
MAT-0390,Marine
MAT-0391,Truck
MAT-0392,Marine
MAT-0393,Marine
MAT-0394,Truck
MAT-0395,Marine
MAT-0396,Marine
MAT-0397,Marine
MAT-0398,Truck
MAT-0399,Truck
MAT-0400,Truck
MAT-0401,Truck
MAT-0402,Truck
MAT-0403,Marine
MAT-0404,Marine
MAT-0405,Marine
MAT-0406,Marine
MAT-0408,Marine
MAT-0409,Truck
MAT-0410,Marine
MAT-0411,Marine
MAT-0412,Truck
MAT-0413,Marine
MAT-0415,Marine
MAT-0416,Marine
MAT-0417,Truck
MAT-0418,Truck
MAT-0419,Marine
MAT-0420,Marine
MAT-0421,Marine
MAT-0423,Marine
MAT-0424,Marine
MAT-0425,Truck
MAT-0426,Marine
MAT-0427,Marine
MAT-0428,Marine
MAT-0429,Truck
MAT-0430,Truck
